P1 work time,P2 work time,P1 crit time,P2 crit time,P1 inc,P2 inc,time
0.00010, 0.00010, 0.00050, 0.00090, 1.00000, 2.00000, 0.087183
0.00010, 0.00010, 0.00050, 0.00090, 2.00000, 2.00000, 0.091231
0.00010, 0.00010, 0.00050, 0.00090, 3.00000, 2.00000, 0.101267
0.00010, 0.00010, 0.00050, 0.00090, 4.00000, 2.00000, 0.108371
0.00010, 0.00010, 0.00050, 0.00090, 5.00000, 2.00000, 0.116566
0.00010, 0.00010, 0.00050, 0.00090, 1.00000, 3.00000, 0.086463
0.00010, 0.00010, 0.00050, 0.00090, 2.00000, 3.00000, 0.095713
0.00010, 0.00010, 0.00050, 0.00090, 3.00000, 3.00000, 0.096369
0.00010, 0.00010, 0.00050, 0.00090, 4.00000, 3.00000, 0.104945
0.00010, 0.00010, 0.00050, 0.00090, 5.00000, 3.00000, 0.116110
0.00010, 0.00010, 0.00050, 0.00090, 1.00000, 4.00000, 0.085714
0.00010, 0.00010, 0.00050, 0.00090, 2.00000, 4.00000, 0.092900
0.00010, 0.00010, 0.00050, 0.00090, 3.00000, 4.00000, 0.101640
0.00010, 0.00010, 0.00050, 0.00090, 4.00000, 4.00000, 0.110978
0.00010, 0.00010, 0.00050, 0.00090, 5.00000, 4.00000, 0.118295
0.00010, 0.00010, 0.00050, 0.00090, 1.00000, 5.00000, 0.086360
0.00010, 0.00010, 0.00050, 0.00090, 2.00000, 5.00000, 0.093116
0.00010, 0.00010, 0.00050, 0.00090, 3.00000, 5.00000, 0.101595
0.00010, 0.00010, 0.00050, 0.00090, 4.00000, 5.00000, 0.109726
0.00010, 0.00010, 0.00050, 0.00090, 5.00000, 5.00000, 0.116751
0.00010, 0.00010, 0.00090, 0.00010, 1.00000, 1.00000, 0.093863
0.00010, 0.00010, 0.00090, 0.00010, 2.00000, 1.00000, 0.096826
0.00010, 0.00010, 0.00090, 0.00010, 3.00000, 1.00000, 0.103895
0.00010, 0.00010, 0.00090, 0.00010, 4.00000, 1.00000, 0.113453
0.00010, 0.00010, 0.00090, 0.00010, 5.00000, 1.00000, 0.116995
0.00010, 0.00010, 0.00090, 0.00010, 1.00000, 2.00000, 0.093007
0.00010, 0.00010, 0.00090, 0.00010, 2.00000, 2.00000, 0.095274
0.00010, 0.00010, 0.00090, 0.00010, 3.00000, 2.00000, 0.105492
0.00010, 0.00010, 0.00090, 0.00010, 4.00000, 2.00000, 0.114848
0.00010, 0.00010, 0.00090, 0.00010, 5.00000, 2.00000, 0.117585
0.00010, 0.00010, 0.00090, 0.00010, 1.00000, 3.00000, 0.091718
0.00010, 0.00010, 0.00090, 0.00010, 2.00000, 3.00000, 0.093598
0.00010, 0.00010, 0.00090, 0.00010, 3.00000, 3.00000, 0.099876
0.00010, 0.00010, 0.00090, 0.00010, 4.00000, 3.00000, 0.113409
0.00010, 0.00010, 0.00090, 0.00010, 5.00000, 3.00000, 0.113302
0.00010, 0.00010, 0.00090, 0.00010, 1.00000, 4.00000, 0.093960
0.00010, 0.00010, 0.00090, 0.00010, 2.00000, 4.00000, 0.098669
0.00010, 0.00010, 0.00090, 0.00010, 3.00000, 4.00000, 0.102375
0.00010, 0.00010, 0.00090, 0.00010, 4.00000, 4.00000, 0.109372
0.00010, 0.00010, 0.00090, 0.00010, 5.00000, 4.00000, 0.119000
0.00010, 0.00010, 0.00090, 0.00010, 1.00000, 5.00000, 0.094587
0.00010, 0.00010, 0.00090, 0.00010, 2.00000, 5.00000, 0.096724
0.00010, 0.00010, 0.00090, 0.00010, 3.00000, 5.00000, 0.103950
0.00010, 0.00010, 0.00090, 0.00010, 4.00000, 5.00000, 0.113732
0.00010, 0.00010, 0.00090, 0.00010, 5.00000, 5.00000, 0.115008
0.00010, 0.00010, 0.00090, 0.00050, 1.00000, 1.00000, 0.097999
0.00010, 0.00010, 0.00090, 0.00050, 2.00000, 1.00000, 0.110605
0.00010, 0.00010, 0.00090, 0.00050, 3.00000, 1.00000, 0.115972
0.00010, 0.00010, 0.00090, 0.00050, 4.00000, 1.00000, 0.127440
0.00010, 0.00010, 0.00090, 0.00050, 5.00000, 1.00000, 0.130426
0.00010, 0.00010, 0.00090, 0.00050, 1.00000, 2.00000, 0.103422
0.00010, 0.00010, 0.00090, 0.00050, 2.00000, 2.00000, 0.107688
0.00010, 0.00010, 0.00090, 0.00050, 3.00000, 2.00000, 0.117555
0.00010, 0.00010, 0.00090, 0.00050, 4.00000, 2.00000, 0.124962
0.00010, 0.00010, 0.00090, 0.00050, 5.00000, 2.00000, 0.133605
0.00010, 0.00010, 0.00090, 0.00050, 1.00000, 3.00000, 0.101601
0.00010, 0.00010, 0.00090, 0.00050, 2.00000, 3.00000, 0.104391
0.00010, 0.00010, 0.00090, 0.00050, 3.00000, 3.00000, 0.113507
0.00010, 0.00010, 0.00090, 0.00050, 4.00000, 3.00000, 0.125216
0.00010, 0.00010, 0.00090, 0.00050, 5.00000, 3.00000, 0.134866
0.00010, 0.00010, 0.00090, 0.00050, 1.00000, 4.00000, 0.102452
0.00010, 0.00010, 0.00090, 0.00050, 2.00000, 4.00000, 0.109131
0.00010, 0.00010, 0.00090, 0.00050, 3.00000, 4.00000, 0.117566
0.00010, 0.00010, 0.00090, 0.00050, 4.00000, 4.00000, 0.125027
0.00010, 0.00010, 0.00090, 0.00050, 5.00000, 4.00000, 0.127328
0.00010, 0.00010, 0.00090, 0.00050, 1.00000, 5.00000, 0.102729
0.00010, 0.00010, 0.00090, 0.00050, 2.00000, 5.00000, 0.106744
0.00010, 0.00010, 0.00090, 0.00050, 3.00000, 5.00000, 0.113141
0.00010, 0.00010, 0.00090, 0.00050, 4.00000, 5.00000, 0.121728
0.00010, 0.00010, 0.00090, 0.00050, 5.00000, 5.00000, 0.128556
0.00010, 0.00010, 0.00090, 0.00090, 1.00000, 1.00000, 0.124969
0.00010, 0.00010, 0.00090, 0.00090, 2.00000, 1.00000, 0.111643
0.00010, 0.00010, 0.00090, 0.00090, 3.00000, 1.00000, 0.127683
0.00010, 0.00010, 0.00090, 0.00090, 4.00000, 1.00000, 0.142529
0.00010, 0.00010, 0.00090, 0.00090, 5.00000, 1.00000, 0.151681
0.00010, 0.00010, 0.00090, 0.00090, 1.00000, 2.00000, 0.128587
0.00010, 0.00010, 0.00090, 0.00090, 2.00000, 2.00000, 0.127541
0.00010, 0.00010, 0.00090, 0.00090, 3.00000, 2.00000, 0.139874
0.00010, 0.00010, 0.00090, 0.00090, 4.00000, 2.00000, 0.144811
0.00010, 0.00010, 0.00090, 0.00090, 5.00000, 2.00000, 0.153522
0.00010, 0.00010, 0.00090, 0.00090, 1.00000, 3.00000, 0.126569
0.00010, 0.00010, 0.00090, 0.00090, 2.00000, 3.00000, 0.130376
0.00010, 0.00010, 0.00090, 0.00090, 3.00000, 3.00000, 0.135564
0.00010, 0.00010, 0.00090, 0.00090, 4.00000, 3.00000, 0.141601
0.00010, 0.00010, 0.00090, 0.00090, 5.00000, 3.00000, 0.154351
0.00010, 0.00010, 0.00090, 0.00090, 1.00000, 4.00000, 0.128011
0.00010, 0.00010, 0.00090, 0.00090, 2.00000, 4.00000, 0.130986
0.00010, 0.00010, 0.00090, 0.00090, 3.00000, 4.00000, 0.141124
0.00010, 0.00010, 0.00090, 0.00090, 4.00000, 4.00000, 0.140588
0.00010, 0.00010, 0.00090, 0.00090, 5.00000, 4.00000, 0.156064
0.00010, 0.00010, 0.00090, 0.00090, 1.00000, 5.00000, 0.128130
